chapter,article,recital
General provisions,Definitions,"‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data;"
General provisions,Definitions,"‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status;"
General provisions,Definitions,‘main establishment’ means:
General provisions,Definitions,"as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;"
General provisions,Definitions,"as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;"
General provisions,Definitions,"‘representative’ means a natural or legal person established in the Union who, designated by the controller or processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective obligations under this Regulation;"
General provisions,Definitions,"‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity;"
General provisions,Definitions,‘group of undertakings’ means a controlling undertaking and its controlled undertakings;
General provisions,Definitions,"‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a joint economic activity;"
General provisions,Definitions,‘supervisory authority’ means an independent public authority which is established by a Member State pursuant to Article 51;
General provisions,Definitions,‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because:
General provisions,Definitions,the controller or processor is established on the territory of the Member State of that supervisory authority;
General provisions,Definitions,data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or
General provisions,Definitions,a complaint has been lodged with that supervisory authority;
General provisions,Definitions,‘cross-border processing’ means either:
General provisions,Definitions,processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or
General provisions,Definitions,processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.
General provisions,Definitions,"‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of this Regulation, or whether envisaged action in relation to the controller or processor complies with this Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the Union;"
General provisions,Definitions,‘information society service’ means a service as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 of the European Parliament and of the Counci;
General provisions,Definitions,"‘international organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries."
Principles,Principles relating to processing of personal data,Personal data shall be:
Principles,Principles relating to processing of personal data,"processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);"
Principles,Principles relating to processing of personal data,"collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance with Article 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);"
Principles,Principles relating to processing of personal data,"adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);"
Principles,Principles relating to processing of personal data,"accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);"
Principles,Principles relating to processing of personal data,kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for
Principles,Principles relating to processing of personal data,"longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);"
Principles,Principles relating to processing of personal data,"processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’)."
Principles,Principles relating to processing of personal data,"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’)."
Principles,Lawfulness of processing,Processing shall be lawful only if and to the extent that at least one of the following applies:
Principles,Lawfulness of processing,the data subject has given consent to the processing of his or her personal data for one or more specific purposes;
Principles,Lawfulness of processing,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;
Principles,Lawfulness of processing,processing is necessary for compliance with a legal obligation to which the controller is subject;
Principles,Lawfulness of processing,processing is necessary in order to protect the vital interests of the data subject or of another natural person;
Principles,Lawfulness of processing,processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;
Principles,Lawfulness of processing,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child."
Principles,Lawfulness of processing,Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.
Principles,Lawfulness of processing,Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing for compliance with points (c) and (e) of paragraph
Principles,Lawfulness of processing,1 by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for in Chapter IX.
Principles,Lawfulness of processing,The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by:
Principles,Lawfulness of processing,Union law; or
Principles,Lawfulness of processing,Member State law to which the controller is subject.
Principles,Lawfulness of processing,"The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller. That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for in Chapter IX. The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued."
Principles,Lawfulness of processing,"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject's consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia:"
Principles,Lawfulness of processing,any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;
Principles,Lawfulness of processing,"the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;"
Principles,Lawfulness of processing,"the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article 10;"
Principles,Lawfulness of processing,the possible consequences of the intended further processing for data subjects;
Principles,Lawfulness of processing,"the existence of appropriate safeguards, which may include encryption or pseudonymisation."
Principles,Conditions for consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data."
Principles,Conditions for consent,"If the data subject's consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language. Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding."
Principles,Conditions for consent,"The data subject shall have the right to withdraw his or her consent at any time. The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal. Prior to giving consent, the data subject shall be informed thereof. It shall be as easy to withdraw as to give consent."
Principles,Conditions for consent,"When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract."
Principles,Conditions applicable to child's consent in relation to information society services,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is at least 16 years old. Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child."
Principles,Conditions applicable to child's consent in relation to information society services,Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.
Principles,Conditions applicable to child's consent in relation to information society services,"The controller shall make reasonable efforts to verify in such cases that consent is given or authorised by the holder of parental responsibility over the child, taking into consideration available technology."
Principles,Conditions applicable to child's consent in relation to information society services,"Paragraph 1 shall not affect the general contract law of Member States such as the rules on the validity, formation or effect of a contract in relation to a child."
Principles,Processing of special categories of personal data,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited."
Principles,Processing of special categories of personal data,Paragraph 1 shall not apply if one of the following applies:
Principles,Processing of special categories of personal data,"the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject;"
Principles,Processing of special categories of personal data,processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject;
Principles,Processing of special categories of personal data,processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent;
Principles,Processing of special categories of personal data,"processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects;"
Principles,Processing of special categories of personal data,processing relates to personal data which are manifestly made public by the data subject;
Principles,Processing of special categories of personal data,"processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity;"
Principles,Processing of special categories of personal data,"processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject;"
Principles,Processing of special categories of personal data,"processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3;"
Principles,Processing of special categories of personal data,"processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy;"
Principles,Processing of special categories of personal data,"processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject."
Principles,Processing of special categories of personal data,Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies.
Principles,Processing of special categories of personal data,"Member States may maintain or introduce further conditions, including limitations, with regard to the processing of genetic data, biometric data or data concerning health."
Principles,Processing of personal data relating to criminal convictions and offences,Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. Any comprehensive register of criminal convictions shall be kept only under the control of official authority.
Principles,Processing which does not require identification,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation."
Principles,Processing which does not require identification,"Where, in cases referred to in paragraph 1 of this Article, the controller is able to demonstrate that it is not in a position to identify the data subject, the controller shall inform the data subject accordingly, if possible. In such cases, Articles 15 to 20 shall not apply except where the data subject, for the purpose of exercising his or her rights under those articles, provides additional information enabling his or her identification."
Rights of the data subject,Processing which does not require identification,Section 1 Transparency and modalities
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","The controller shall take appropriate measures to provide any information referred to in Articles 13 and 14 and any communication under Articles 15 to 22 and 34 relating to processing to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language, in particular for any information addressed specifically to a child. The information shall be provided in writing, or by other means, including, where appropriate, by electronic means. When requested by the data subject, the information may be provided orally, provided that the identity of the data subject is proven by other means."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","The controller shall facilitate the exercise of data subject rights under Articles 15 to 22. In the cases referred to in Article 11(2), the controller shall not refuse to act on the request of the data subject for exercising his or her rights under Articles 15 to 22, unless the controller demonstrates that it is not in a position to identify the data subject."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","The controller shall provide information on action taken on a request under Articles 15 to 22 to the data subject without undue delay and in any event within one month of receipt of the request. That period may be extended by two further months where necessary, taking into account the complexity and number of the requests. The controller shall inform the data subject of any such extension within one month of receipt of the request, together with the reasons for the delay. Where the data subject makes the request by electronic form means, the information shall be provided by electronic means where possible, unless otherwise requested by the data subject."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","If the controller does not take action on the request of the data subject, the controller shall inform the data subject without delay and at the latest within one month of receipt of the request of the reasons for not taking action and on the possibility of lodging a complaint with a supervisory authority and seeking a judicial remedy."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","Information provided under Articles 13 and 14 and any communication and any actions taken under Articles 15 to 22 and 34 shall be provided free of charge. Where requests from a data subject are manifestly unfounded or excessive, in particular because of their repetitive character, the controller may either:"
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",charge a reasonable fee taking into account the administrative costs of providing the information or communication or taking the action requested; or
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",refuse to act on the request.
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",The controller shall bear the burden of demonstrating the manifestly unfounded or excessive character of the request.
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","Without prejudice to Article 11, where the controller has reasonable doubts concerning the identity of the natural person making the request referred to in Articles 15 to 21, the controller may request the provision of additional information necessary to confirm the identity of the data subject."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject","The information to be provided to data subjects pursuant to Articles 13 and 14 may be provided in combination with standardised icons in order to give in an easily visible, intelligible and clearly legible manner a meaningful overview of the intended processing. Where the icons are presented electronically they shall be machine-readable."
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",The Commission shall be empowered to adopt delegated acts in accordance with Article 92 for the purpose of determining the information to be presented by the icons and the procedures for providing standardised icons.
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",Section 2
Rights of the data subject,"Transparent information, communication and modalities for the exercise of the rights of the data subject",Information and access to personal data
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information:"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"the identity and the contact details of the controller and, where applicable, of the controller's representative;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"the contact details of the data protection officer, where applicable;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"the recipients or categories of recipients of the personal data, if any;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available."
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing:"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability;
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,the right to lodge a complaint with a supervisory authority;
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data;"
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject."
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2."
Rights of the data subject,Information to be provided where personal data are collected from the data subject,"Paragraphs 1, 2 and 3 shall not apply where and insofar as the data subject already has the information."
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"Where personal data have not been obtained from the data subject, the controller shall provide the data subject with the following information:"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"the identity and the contact details of the controller and, where applicable, of the controller's representative;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"the contact details of the data protection officer, where applicable;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,the purposes of the processing for which the personal data are intended as well as the legal basis for the processing;
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,the categories of personal data concerned;
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"the recipients or categories of recipients of the personal data, if any;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"where applicable, that the controller intends to transfer personal data to a recipient in a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means to obtain a copy of them or where they have been made available."
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"In addition to the information referred to in paragraph 1, the controller shall provide the data subject with the following information necessary to ensure fair and transparent processing in respect of the data subject:"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability;
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"where processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,the right to lodge a complaint with a supervisory authority;
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"from which source the personal data originate, and if applicable, whether it came from publicly accessible sources;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject."
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,The controller shall provide the information referred to in paragraphs 1 and 2:
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"within a reasonable period after obtaining the personal data, but at the latest within one month, having regard to the specific circumstances in which the personal data are processed;"
Rights of the data subject,Information to be provided where personal data have not been obtained from the data subject,"if the personal data are to be used for communication with the data subject, at the latest at the time of the first communication to that data subject; or"
